uid	iid	label	u_gender	u_marital_status	u_occupation	u_activity
1	8	1	0	0	0	0
1	15	1	0	0	0	0
2	8	1	0	0	0	0
2	15	1	0	0	0	0
3	7	1	1	1	1	1
3	8	1	1	1	1	1
3	21	1	1	1	1	1
4	8	1	1	0	1	0
4	15	1	1	0	1	0
5	18	1	1	0	0	0
5	19	1	1	0	0	0
6	2	1	0	1	0	0
6	3	1	0	1	0	0
7	8	1	1	0	0	0
7	15	1	1	0	0	0
8	8	1	0	0	0	0
8	16	1	0	0	0	0
9	8	1	1	0	1	0
9	15	1	1	0	1	0
10	8	1	1	0	0	0
10	15	1	1	0	0	0
11	9	1	1	0	0	0
11	14	1	1	0	0	0
12	8	1	1	0	1	0
12	15	1	1	0	1	0
13	8	1	1	0	1	0
13	15	1	1	0	1	0
14	4	1	1	0	1	0
14	16	1	1	0	1	0
15	8	1	0	0	1	1
15	15	1	0	0	1	1
15	16	1	0	0	1	1
16	8	1	1	0	0	1
16	15	1	1	0	0	1
16	16	1	1	0	0	1
16	20	1	1	0	0	1
17	8	1	1	1	0	1
17	15	1	1	1	0	1
17	16	1	1	1	0	1
18	8	1	1	0	1	0
18	15	1	1	0	1	0
19	9	1	1	0	0	0
19	13	1	1	0	0	0
20	2	1	1	1	0	1
20	8	1	1	1	0	1
20	15	1	1	1	0	1
21	8	1	1	0	0	0
21	15	1	1	0	0	0
22	8	1	1	0	0	1
22	15	1	1	0	0	1
22	16	1	1	0	0	1
23	8	1	1	0	0	0
23	15	1	1	0	0	0
24	8	1	1	0	1	1
24	15	1	1	0	1	1
24	16	1	1	0	1	1
25	8	1	1	0	0	1
25	15	1	1	0	0	1
25	16	1	1	0	0	1
26	8	1	1	1	1	0
26	15	1	1	1	1	0
27	8	1	0	0	0	0
27	15	1	0	0	0	0
28	8	1	1	0	1	1
28	15	1	1	0	1	1
28	21	1	1	0	1	1
29	8	1	0	0	0	0
29	16	1	0	0	0	0
30	8	1	1	0	0	0
30	15	1	1	0	0	0
31	8	1	1	0	1	1
31	9	1	1	0	1	1
31	15	1	1	0	1	1
32	8	1	1	0	0	0
32	15	1	1	0	0	0
33	8	1	0	0	0	1
33	15	1	0	0	0	1
33	16	1	0	0	0	1
34	8	1	1	0	1	0
34	15	1	1	0	1	0
35	8	1	1	0	0	0
35	15	1	1	0	0	0
36	8	1	1	0	1	0
36	15	1	1	0	1	0
37	8	1	1	0	1	1
37	15	1	1	0	1	1
37	16	1	1	0	1	1
38	8	1	1	0	0	0
38	15	1	1	0	0	0
39	8	1	1	1	0	0
39	15	1	1	1	0	0
40	8	1	0	0	1	0
40	15	1	0	0	1	0
41	8	1	1	0	0	0
41	15	1	1	0	0	0
42	8	1	1	0	1	0
42	15	1	1	0	1	0
43	8	1	0	0	0	1
43	15	1	0	0	0	1
43	16	1	0	0	0	1
44	8	1	1	0	1	0
44	15	1	1	0	1	0
45	7	1	1	1	0	0
45	8	1	1	1	0	0
46	8	1	1	0	0	0
46	15	1	1	0	0	0
47	8	1	1	0	0	1
47	15	1	1	0	0	1
