uid	u_activity
1	0
2	0
3	1
4	0
5	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
17	1
19	0
20	1
21	0
22	1
23	0
24	1
25	1
26	0
27	0
28	1
29	0
30	0
31	1
32	0
33	1
34	0
35	0
36	0
38	0
39	0
40	0
42	0
43	1
44	0
45	0
46	0
47	1
49	0
50	0
51	0
52	0
53	0
54	0
58	0
59	0
61	0
63	0
64	0
65	0
66	0
67	1
68	0
69	0
70	0
72	0
73	0
74	0
75	1
76	0
78	0
79	0
80	0
81	0
83	1
84	0
85	0
86	0
87	1
88	0
89	1
90	0
91	0
92	0
93	0
94	0
96	0
97	0
98	0
99	0
100	1
101	0
102	1
103	1
105	0
106	0
108	0
110	0
111	0
113	0
115	0
116	0
117	0
118	0
119	1
121	0
122	0
123	0
124	1
126	0
127	0
128	0
130	0
131	0
133	0
135	0
136	0
137	0
139	0
140	0
142	1
143	1
145	0
146	0
147	0
148	1
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	1
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	1
174	0
175	0
176	1
178	0
180	0
181	1
184	0
185	0
188	1
189	0
190	0
191	0
192	1
193	1
195	0
198	0
199	0
200	0
201	0
202	0
203	1
206	0
207	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	1
217	0
219	1
220	0
221	0
222	0
224	0
225	0
226	0
227	0
229	0
231	0
232	0
233	0
234	0
235	1
238	1
239	0
240	0
241	0
242	0
244	1
246	1
249	0
250	0
251	0
252	0
253	0
255	0
256	1
257	1
258	0
259	0
260	0
262	0
264	1
265	0
266	0
267	1
268	0
269	0
270	0
271	1
272	0
274	0
276	1
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
290	0
293	0
295	0
296	0
297	0
300	0
301	1
302	0
303	0
304	0
306	0
307	1
308	1
309	0
310	0
311	0
312	0
315	1
316	0
317	1
318	0
319	0
320	1
321	0
322	0
324	0
327	0
328	0
329	0
331	0
332	0
333	1
334	0
335	1
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	1
345	0
347	0
348	0
349	1
351	0
