uid	u_marital_status
1	0
2	0
3	1
4	0
5	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
17	1
19	0
20	1
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
38	0
39	1
40	0
42	0
43	0
44	0
45	1
46	0
47	0
49	0
50	0
51	0
52	0
53	1
54	1
58	0
59	1
61	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
72	0
73	0
74	0
75	0
76	1
78	0
79	0
80	0
81	0
83	0
84	0
85	1
86	0
87	0
88	1
89	0
90	1
91	0
92	0
93	0
94	0
96	0
97	1
98	0
99	0
100	0
101	0
102	0
103	0
105	1
106	0
108	0
110	1
111	0
113	0
115	1
116	0
117	0
118	0
119	0
121	0
122	1
123	0
124	0
126	0
127	0
128	1
130	0
131	0
133	0
135	0
136	0
137	1
139	0
140	0
142	0
143	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	1
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
178	0
180	1
181	0
184	0
185	0
188	0
189	0
190	0
191	0
192	0
193	0
195	0
198	1
199	0
200	0
201	1
202	0
203	0
206	1
207	0
209	1
210	0
211	0
212	0
213	0
214	1
215	0
216	0
217	0
219	1
220	0
221	0
222	0
224	0
225	0
226	1
227	0
229	0
231	1
232	0
233	1
234	0
235	1
238	0
239	0
240	0
241	1
242	0
244	1
246	1
249	0
250	0
251	0
252	0
253	0
255	0
256	0
257	0
258	1
259	0
260	0
262	0
264	0
265	0
266	1
267	0
268	0
269	0
270	1
271	0
272	0
274	0
276	1
277	0
278	0
279	0
280	0
281	1
282	0
283	0
284	0
285	1
286	0
287	0
288	0
290	1
293	0
295	0
296	0
297	1
300	1
301	1
302	1
303	0
304	0
306	0
307	0
308	1
309	0
310	1
311	0
312	0
315	0
316	0
317	0
318	0
319	1
320	0
321	0
322	0
324	0
327	0
328	0
329	1
331	0
332	0
333	0
334	1
335	0
336	0
337	1
338	0
339	0
340	0
341	0
342	0
343	0
345	1
347	0
348	0
349	0
351	0
