uid	u_occupation
1	0
2	0
3	1
4	1
5	0
7	0
8	0
9	1
10	0
11	0
12	1
13	1
14	1
17	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	1
27	0
28	1
29	0
30	0
31	1
32	0
33	0
34	1
35	0
36	1
38	0
39	0
40	1
42	1
43	0
44	1
45	0
46	0
47	0
49	0
50	0
51	1
52	1
53	0
54	1
58	0
59	0
61	0
63	1
64	0
65	0
66	0
67	0
68	1
69	0
70	1
72	0
73	1
74	0
75	1
76	0
78	0
79	1
80	1
81	1
83	0
84	0
85	0
86	0
87	0
88	1
89	0
90	0
91	1
92	0
93	1
94	0
96	0
97	1
98	1
99	0
100	0
101	1
102	1
103	0
105	1
106	1
108	0
110	0
111	0
113	0
115	0
116	1
117	1
118	0
119	1
121	1
122	1
123	0
124	0
126	1
127	0
128	0
130	1
131	0
133	1
135	1
136	0
137	0
139	0
140	1
142	0
143	0
145	1
146	1
147	0
148	0
149	1
150	0
151	0
152	1
153	0
154	1
155	1
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	1
164	0
165	1
166	0
167	1
168	0
169	0
170	1
171	1
172	1
173	1
174	1
175	1
176	0
178	0
180	0
181	1
184	0
185	0
188	1
189	0
190	1
191	0
192	1
193	0
195	0
198	1
199	0
200	0
201	0
202	1
203	0
206	1
207	1
209	0
210	0
211	1
212	1
213	0
214	0
215	0
216	1
217	0
219	0
220	0
221	0
222	0
224	1
225	1
226	0
227	0
229	1
231	0
232	0
233	0
234	1
235	1
238	0
239	0
240	0
241	0
242	0
244	0
246	0
249	0
250	0
251	0
252	0
253	0
255	1
256	1
257	1
258	0
259	1
260	0
262	1
264	0
265	0
266	0
267	0
268	0
269	1
270	1
271	1
272	0
274	1
276	0
277	0
278	1
279	1
280	0
281	0
282	1
283	0
284	1
285	0
286	0
287	1
288	1
290	1
293	0
295	0
296	1
297	0
300	1
301	0
302	1
303	1
304	0
306	1
307	0
308	1
309	0
310	0
311	0
312	1
315	1
316	1
317	1
318	0
319	1
320	0
321	0
322	0
324	0
327	0
328	0
329	0
331	0
332	1
333	1
334	1
335	0
336	1
337	0
338	1
339	1
340	0
341	0
342	1
343	1
345	1
347	0
348	0
349	0
351	1
