uid	u_age
1	1
3	0
4	1
5	0
7	0
8	0
9	0
10	0
12	0
13	1
14	0
15	0
17	1
18	1
20	0
21	1
22	1
23	0
24	0
25	1
26	0
27	0
29	0
30	0
32	0
33	1
34	1
35	1
39	1
41	1
42	0
43	0
45	1
46	1
47	1
48	0
49	1
52	1
53	0
54	1
55	0
56	0
57	1
59	1
60	1
61	0
62	0
63	1
64	1
65	0
66	0
67	1
68	1
70	1
71	0
72	1
73	1
74	0
75	1
76	0
77	1
78	1
79	1
80	1
81	0
82	0
83	0
84	1
86	1
87	0
89	1
90	1
91	0
92	1
93	0
94	0
95	1
97	0
98	0
99	1
100	0
101	1
102	0
103	1
104	0
106	0
107	1
108	0
109	1
110	0
111	0
115	0
117	0
118	0
119	1
121	0
122	1
123	0
124	1
125	1
126	1
127	1
128	1
129	0
130	0
131	1
132	0
133	0
135	1
136	1
137	1
138	1
139	0
140	0
141	0
142	0
143	1
144	0
145	1
146	0
147	1
148	1
151	0
152	1
153	1
154	1
155	0
156	1
157	0
158	1
159	1
160	0
161	1
162	1
163	1
165	1
166	1
167	0
168	1
169	0
170	0
171	1
172	0
173	0
174	0
175	0
176	1
177	1
178	1
179	0
180	1
181	1
182	1
183	1
184	0
185	1
187	1
188	1
189	1
190	0
192	1
193	1
194	1
196	0
197	1
198	0
199	1
200	1
201	0
202	1
203	1
204	0
205	0
206	0
207	0
208	0
209	0
210	1
211	1
212	0
213	1
214	1
215	0
216	1
217	1
218	0
219	0
220	0
221	0
224	1
225	0
226	0
227	0
228	0
229	1
230	1
231	0
233	1
234	0
235	0
236	0
237	0
238	1
241	0
242	1
244	1
245	0
246	1
252	0
253	0
254	0
255	0
256	1
258	0
259	0
260	1
261	0
262	0
264	0
265	0
267	1
268	1
270	1
271	1
272	1
273	1
274	1
275	0
276	1
277	0
278	1
280	1
281	0
282	0
283	0
284	0
285	0
286	0
287	1
288	0
290	0
294	1
295	1
296	1
298	1
299	0
300	0
302	1
304	0
305	1
307	1
308	0
309	0
310	1
311	1
312	1
314	1
315	1
316	1
317	0
318	1
319	1
320	0
322	1
324	0
325	1
326	1
327	0
328	0
329	0
330	1
331	0
332	1
333	0
334	1
336	1
337	1
338	0
339	1
340	0
341	1
342	1
344	0
345	0
347	1
348	1
349	1
350	1
351	1
352	1
353	0
354	0
355	1
356	1
358	1
359	0
360	0
362	0
363	1
364	0
365	1
366	1
367	1
368	0
369	0
371	1
372	1
373	0
374	0
376	0
377	0
378	1
379	0
380	0
382	0
384	0
385	0
386	0
387	0
388	0
389	0
392	1
393	0
394	1
395	1
396	0
397	0
398	0
399	0
400	1
401	1
402	0
403	1
404	1
405	1
406	0
407	1
409	1
412	0
413	0
414	0
415	0
418	0
419	1
420	0
421	1
422	1
424	0
426	1
427	0
428	1
429	1
430	1
431	1
432	1
433	1
434	1
435	0
436	1
437	0
438	1
439	0
441	0
442	0
443	0
444	1
447	1
449	0
450	1
452	1
453	1
454	0
456	0
457	1
459	1
460	1
461	1
462	1
463	0
464	1
465	1
466	0
467	0
468	1
469	0
470	1
471	0
472	0
473	1
474	0
475	0
476	0
477	0
478	1
480	1
482	0
483	1
484	1
485	1
486	1
488	0
490	1
491	1
492	0
493	1
494	0
495	1
496	1
497	0
498	0
499	0
500	1
501	0
502	0
504	0
506	0
507	0
508	0
509	0
512	0
513	0
514	0
515	0
516	1
517	0
518	0
519	0
520	0
521	1
522	0
524	1
527	0
528	1
529	0
530	0
532	0
535	0
537	1
538	1
539	0
540	1
542	1
544	0
545	0
547	0
548	0
549	0
550	1
551	0
553	0
555	1
556	0
557	1
558	0
559	0
560	1
561	1
563	0
564	1
565	0
566	0
567	0
568	1
569	1
571	1
572	1
573	0
574	0
575	0
576	1
577	0
578	1
580	1
581	1
582	1
583	0
584	0
585	1
586	0
587	0
588	0
589	1
590	0
592	1
594	1
595	0
596	0
597	0
598	0
599	1
600	0
601	1
603	0
604	1
606	1
607	0
608	1
609	0
610	0
611	0
612	1
613	0
616	0
617	0
618	0
619	1
620	1
622	0
624	0
625	0
626	1
627	1
628	0
630	0
631	0
633	0
636	1
637	0
638	0
639	1
640	1
641	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
651	0
652	1
653	1
654	1
655	0
656	1
658	0
659	0
661	1
662	1
663	0
664	0
666	1
667	0
668	0
669	0
670	0
671	1
673	0
674	0
675	0
676	1
677	1
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	1
687	0
688	1
690	0
692	0
693	0
694	1
695	1
696	0
697	1
698	1
699	1
700	1
701	1
702	0
