uid	u_occupation
1	1
3	1
4	0
5	1
7	0
8	1
9	0
10	0
12	1
13	0
14	0
15	0
17	0
18	1
20	1
21	1
22	1
23	0
24	0
25	0
26	0
27	1
29	0
30	0
32	0
33	1
34	0
35	0
39	0
41	0
42	1
43	1
45	1
46	1
47	0
48	0
49	1
52	0
53	0
54	0
55	1
56	1
57	1
59	0
60	0
61	0
62	1
63	0
64	0
65	1
66	1
67	1
68	0
70	0
71	1
72	0
73	0
74	1
75	1
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	0
86	1
87	1
89	1
90	1
91	0
92	0
93	0
94	0
95	0
97	1
98	0
99	1
100	0
101	1
102	1
103	0
104	1
106	1
107	1
108	1
109	1
110	1
111	1
115	0
117	0
118	0
119	1
121	0
122	0
123	1
124	0
125	1
126	1
127	1
128	1
129	1
130	0
131	0
132	0
133	0
135	0
136	1
137	1
138	1
139	1
140	0
141	1
142	0
143	1
144	0
145	0
146	1
147	0
148	0
151	1
152	0
153	1
154	1
155	1
156	0
157	1
158	0
159	0
160	0
161	1
162	0
163	0
165	1
166	0
167	1
168	0
169	0
170	1
171	0
172	1
173	0
174	1
175	1
176	1
177	0
178	0
179	0
180	1
181	0
182	0
183	0
184	0
185	0
187	0
188	1
189	0
190	0
192	0
193	1
194	1
196	1
197	1
198	1
199	0
200	0
201	1
202	0
203	0
204	0
205	1
206	0
207	1
208	0
209	0
210	1
211	0
212	1
213	0
214	1
215	1
216	1
217	0
218	1
219	0
220	1
221	0
224	0
225	0
226	0
227	1
228	1
229	1
230	0
231	1
233	1
234	0
235	0
236	1
237	1
238	0
241	1
242	0
244	0
245	1
246	0
252	1
253	1
254	0
255	0
256	1
258	0
259	0
260	1
261	1
262	0
264	0
265	0
267	1
268	1
270	1
271	0
272	0
273	0
274	0
275	0
276	1
277	0
278	1
280	0
281	0
282	0
283	0
284	1
285	0
286	0
287	1
288	1
290	1
294	1
295	0
296	1
298	0
299	1
300	0
302	0
304	0
305	0
307	1
308	1
309	0
310	0
311	0
312	1
314	1
315	0
316	1
317	0
318	1
319	1
320	1
322	0
324	0
325	1
326	1
327	1
328	1
329	0
330	0
331	0
332	0
333	1
334	1
336	0
337	1
338	0
339	0
340	1
341	1
342	1
344	1
345	1
347	0
348	0
349	1
350	1
351	0
352	0
353	0
354	0
355	1
356	1
358	0
359	0
360	0
362	1
363	1
364	0
365	0
366	1
367	1
368	0
369	0
371	0
372	0
373	1
374	1
376	0
377	0
378	0
379	0
380	1
382	1
384	1
385	1
386	0
387	0
388	0
389	1
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	1
400	1
401	0
402	1
403	0
404	0
405	0
406	1
407	0
409	1
412	1
413	1
414	0
415	0
418	1
419	1
420	0
421	1
422	0
424	0
426	0
427	1
428	0
429	0
430	1
431	1
432	1
433	1
434	1
435	0
436	0
437	0
438	1
439	1
441	0
442	0
443	1
444	0
